host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,popularity,host_is_local,host_years,review_years_range
2,0.98,0.98,0,106,1,1,2,2,1.0,2.0,2050.0,30,365,1,18,48,78,353,4.55,4.7,4.74,4.82,4.61,4.05,4.36,0,0.19,0,0,10,4.09
3,1.0,0.96,0,8,1,1,0,4,1.0,1.0,1795.0,1,365,1,9,29,54,329,4.88,4.94,4.88,4.93,4.93,4.71,4.65,1,0.83,3,1,11,10.7
2,0.98,0.98,0,106,1,1,2,4,2.0,3.0,4000.0,30,365,1,9,39,69,344,4.48,4.69,4.84,4.66,4.66,3.88,4.47,0,0.28,0,0,10,9.11
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,750.0,120,1125,1,30,60,90,90,4.47,4.71,4.64,4.78,4.72,4.37,4.47,1,1.83,3,0,11,6.11
3,1.0,1.0,0,32,1,1,0,2,1.0,1.0,1004.0,300,1125,1,0,0,0,24,4.82,4.77,4.66,4.71,4.83,4.77,4.6,0,0.28,3,0,12,8.76
3,1.0,1.0,0,14,1,1,2,2,1.0,1.0,4271.0,1,999,1,4,23,53,328,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0.02,1,1,10,0.0
0,0.0,0.0,0,2,1,1,0,2,1.0,1.0,1559.0,21,1125,1,29,59,89,364,4.5,5.0,5.0,5.0,5.0,5.0,5.0,0,0.03,1,0,11,0.45
1,1.0,0.25,0,5,1,1,0,4,1.0,1.0,3395.0,360,600,1,29,59,89,364,4.94,4.92,4.94,5.0,5.0,4.72,4.81,0,0.27,3,0,11,5.32
3,0.95,0.67,0,8,1,1,2,2,1.0,1.0,1325.0,30,90,1,30,60,90,365,4.83,4.57,4.43,4.71,4.57,4.71,4.29,0,0.06,2,1,10,2.18
3,1.0,1.0,1,7,1,1,0,2,1.0,2.0,901.0,2,120,1,7,21,35,163,4.81,4.88,4.88,4.88,4.89,4.65,4.77,1,3.93,3,0,11,10.59
1,1.0,1.0,0,6,1,1,2,2,1.0,1.0,2000.0,2,1095,1,28,58,88,363,5.0,5.0,5.0,4.5,5.0,4.5,5.0,1,0.14,1,1,11,0.96
1,1.0,1.0,0,6,1,1,2,2,1.0,1.0,2140.0,2,1095,1,30,60,90,365,3.0,2.0,4.0,4.0,4.0,2.0,2.0,0,0.17,1,1,11,0.0
3,0.95,0.67,0,8,1,1,2,2,1.0,1.0,1325.0,30,365,1,30,60,90,365,4.45,4.39,4.17,4.68,4.5,4.74,4.47,0,0.16,0,1,10,2.56
2,0.98,0.98,0,106,1,1,2,2,1.0,1.0,1950.0,30,365,1,18,48,78,353,4.07,4.19,4.56,4.44,4.5,3.81,4.31,0,0.13,0,0,10,9.11
2,1.0,0.36,0,6,1,1,0,3,1.0,1.0,2387.0,2,365,1,0,0,0,101,4.7,4.79,4.77,4.65,4.69,4.79,4.69,0,0.46,3,1,12,7.13
3,1.0,0.98,0,7,1,1,0,1,1.0,1.0,840.0,1,180,1,5,14,44,45,4.72,4.76,4.68,4.91,4.76,4.21,4.73,0,0.28,0,1,11,9.56
0,0.0,0.67,0,2,1,1,0,6,2.0,3.0,12000.0,28,45,1,24,54,84,264,4.75,5.0,4.5,5.0,5.0,5.0,5.0,0,0.03,2,1,11,9.75
3,1.0,1.0,1,3,1,1,0,2,1.0,1.0,999.0,14,1125,1,7,19,32,307,4.61,4.69,4.69,4.65,4.74,4.45,4.6,0,1.41,3,0,11,10.03
3,1.0,1.0,1,8,1,1,2,2,1.0,1.0,1200.0,1,1125,1,12,16,16,16,4.61,4.74,4.8,4.79,4.8,4.4,4.56,1,0.44,3,1,11,8.16
3,1.0,1.0,0,74,1,1,0,1,1.0,1.0,843.0,1,1125,1,18,48,78,353,4.71,4.84,4.73,4.86,4.88,4.75,4.82,1,1.76,3,1,12,10.09
3,0.8,1.0,0,11,1,1,0,2,1.0,1.0,1450.0,1,1125,1,8,38,68,343,4.78,4.89,5.0,5.0,4.89,4.33,4.67,0,0.07,2,1,10,8.93
3,0.8,1.0,0,11,1,1,0,2,1.0,2.0,1800.0,1,1125,1,22,52,82,357,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0.04,2,1,10,2.34
3,0.8,1.0,0,11,1,1,0,2,1.0,1.0,1800.0,1,1125,1,21,51,81,356,5.0,5.0,5.0,5.0,5.0,4.67,5.0,0,0.16,1,1,10,0.57
3,0.8,1.0,0,11,1,1,0,4,1.0,2.0,3000.0,1,1125,1,14,44,74,349,2.0,5.0,5.0,5.0,5.0,1.0,1.0,0,0.01,1,1,10,0.0
3,1.0,1.0,0,6,1,1,0,2,1.0,1.0,720.0,30,365,1,15,16,43,189,4.99,4.97,4.96,4.97,4.99,4.77,4.88,0,0.7,3,1,11,10.9
3,1.0,1.0,0,74,1,1,0,2,1.0,1.0,650.0,1,1125,1,4,27,57,332,4.68,4.79,4.71,4.85,4.86,4.63,4.74,1,1.52,3,1,12,10.16
3,1.0,1.0,0,52,1,1,0,3,1.0,1.0,1000.0,250,365,1,30,60,90,365,4.76,4.76,4.76,4.82,4.94,4.06,4.65,1,0.15,0,0,11,3.59
